Site,Year,acpa,acce,moan,maca,decy,sisp,fafr,disp,meme,cona,issi,eufa,mysp,muan,masp,dsto,lesp,maar,stin,scsp,ocul,clar,sosp,agag,Agsp,po-branch,po-massive,livecoral,deadcoral,poas,poco,popo,sand,pavement,sponge-all,bransoft,feathsoft,fansoft,rubble,algae-all,fila-macro,flesh-macro,crustose,montast-all,Anemcolon,Anemsol,Zoanthids,pofur,erect-soft,enc-soft,fire-coral,sponge-erect,sponge-encrusting
Bigelow,2002,-5.204E-18,-5.551E-16,4.409,1.362,-2.776E-16,2.735,-1.776E-15,0.827,1.096,1.527E-16,-2.255E-17,-6.245E-17,-6.661E-16,-7.893E-17,-5.204E-17,5.551E-17,-1.110E-16,0.556,0.806,-1.561E-17,2.259E-20,4.879E-19,-1.605E-17,-4.441E-16,4.721,1.945,3.300,21.757,0.560,3.300,-3.109E-15,1.945,18.789,1.938,16.514,5.780,6.343,4.129,2.484,14.027,12.113,0.538,1.376,5.771,1.945,0.278,2.214,-6.661E-16,20.099,4.373,0.815,16.630,3.831
Bigelow,2003,-8.674E-18,6.661E-16,3.049,2.213,1.665E-16,2.220,-2.665E-15,0.278,-3.747E-16,1.107,-1.041E-17,3.886E-16,3.886E-16,5.378E-17,0.829,3.123E-17,1.111,2.949E-17,0.556,-3.469E-18,1.195E-18,-2.852E-20,-1.966E-18,5.539,-4.996E-16,0.278,2.215,19.394,1.664,2.215,3.400E-16,0.278,20.762,1.662,18.547,8.317,4.421,5.535,6.935,9.428,6.380,0.556,2.493,5.262,0.556,0.000,0.556,0.000,12.724,2.222,0.556,10.557,6.097
Bigelow,2004,9.861E-32,0.699,2.086,1.673,-5.551E-17,2.378,2.082E-17,1.109,0.279,0.281,2.602E-17,5.551E-17,0.140,7.546E-17,4.441E-16,0.141,0.420,3.331E-16,8.882E-16,5.204E-17,7.224E-19,-8.788E-18,-7.589E-19,1.953,0.985,1.812,2.374,15.769,-5.329E-15,2.374,-5.551E-17,1.251,20.957,3.490,12.688,7.487,3.495,6.825,11.528,11.782,4.002,0.968,5.406,3.759,-3.886E-16,0.556,1.055E-15,0.560,16.399,4.174,1.112,13.672,5.020
Bigelow,2005,-1.388E-17,9.021E-17,2.236,3.931,-2.776E-16,0.278,5.551E-17,0.843,0.560,0.278,-6.939E-18,4.996E-16,1.554E-15,1.561E-17,0.565,6.245E-17,-1.561E-17,1.236E-16,0.278,7.980E-17,8.312E-19,-4.472E-19,-5.240E-19,1.977,0.282,2.220E-15,3.366,14.595,-3.553E-15,3.366,-1.683E-16,1.776E-15,19.120,3.663,21.083,7.001,7.293,8.169,8.432,6.431,5.038,0.833,0.560,6.168,7.772E-16,0.282,2.665E-15,4.441E-16,27.136,3.931,2.887E-15,22.877,5.334
Bigelow,2006,-5.204E-18,1.110E-16,1.675,2.349,-1.110E-15,2.353,0.167,4.996E-16,0.753,0.336,-1.735E-18,3.886E-16,0.336,2.082E-17,0.165,3.469E-18,9.368E-17,-6.939E-18,0.503,-2.776E-17,8.782E-19,-2.884E-18,-1.008E-18,0.168,1.254,0.335,3.093,13.487,2.346,3.093,-3.331E-16,0.335,25.276,3.588,12.204,3.417,1.997,5.510,8.919,19.592,14.165,4.924,0.503,4.024,9.923E-16,0.165,2.942E-15,1.110E-16,11.341,3.334,0.165,10.279,6.116
Bigelow,2007,-2.958E-31,-1.874E-16,3.930,1.909,-1.665E-16,1.248,0.215,0.404,0.820,0.215,-5.031E-17,9.021E-17,-3.886E-16,7.889E-31,-1.145E-16,0.215,1.076E-16,3.036E-17,1.943E-16,-1.735E-18,6.776E-20,4.879E-19,5.653E-19,4.163E-16,2.313,0.617,3.325,15.211,4.953,3.325,-9.541E-17,0.617,17.365,2.023,9.294,11.945,7.049,6.635,9.896,14.404,6.803,6.590,1.011,5.839,-4.163E-17,1.804E-16,5.551E-16,1.110E-16,18.107,1.009,0.215,11.373,2.500
Bigelow,2008,-2.082E-17,2.567E-16,3.437,2.579,0.439,2.316,1.665E-16,-3.608E-16,0.635,0.439,-2.949E-17,0.210,6.939E-17,6.939E-18,-1.631E-16,8.327E-17,0.419,3.296E-17,-1.110E-16,6.939E-18,-1.208E-19,4.879E-19,4.374E-19,0.844,-2.665E-15,0.644,3.391,15.537,4.185,2.752,0.639,0.425,12.852,0.000,9.672,12.428,11.009,14.670,7.593,9.920,8.668,0.429,0.823,6.017,6.939E-18,-7.772E-16,1.055E-15,0.219,26.531,1.083,1.050,16.866,4.195
Bigelow,2009,-1.214E-17,1.089E-15,3.225,1.166,3.331E-16,1.703,1.665E-16,0.383,1.660,1.129,-2.776E-17,0.047,2.498E-16,-8.674E-19,-7.170E-17,2.429E-17,2.082E-17,2.342E-17,0.031,1.041E-17,2.544E-18,3.497E-18,-1.690E-18,2.133,1.250,0.359,4.675,17.760,0.167,4.675,-2.793E-16,0.359,24.982,-1.776E-15,7.054,16.442,10.039,12.336,5.764,19.740,19.082,0.167,0.491,4.391,6.939E-17,-6.939E-18,4.996E-16,3.469E-17,32.625,0.329,0.163,21.491,2.625
Bigelow,2010,-1.561E-17,5.759E-16,4.052,2.858,-1.110E-16,1.895,3.331E-16,0.706,1.429,0.939,-1.735E-17,0.243,0.236,1.128E-16,-1.006E-16,5.551E-17,3.816E-17,-5.551E-17,4.718E-16,-1.908E-17,1.662E-18,-9.276E-18,-1.897E-18,1.186,1.191,0.973,5.749,20.500,7.105E-15,5.036,0.713,0.730,24.060,-6.661E-16,12.384,16.420,5.719,11.639,0.946,7.380,6.439,0.941,1.388E-15,6.910,1.943E-16,0.480,2.442E-15,0.243,23.159,0.473,7.772E-16,16.383,3.562
Bigelow,2011,-7.806E-17,-5.551E-17,2.307,1.582,-2.776E-16,1.583,0.000,0.909,0.922,0.236,4.337E-17,0.236,0.224,4.747E-18,8.674E-17,-2.776E-17,1.266E-16,8.283E-17,0.236,1.561E-17,7.697E-19,-2.711E-20,-1.253E-18,1.597,0.225,1.123,3.181,13.913,1.776E-15,3.181,-2.377E-16,0.674,14.127,-3.109E-15,7.930,21.068,10.361,14.640,8.608,7.299,4.350,2.949,1.554E-15,3.888,-3.787E-29,0.460,0.685,0.449,33.355,2.998E-15,0.908,22.890,3.416
